state,SHELDED,FSSLTDED,HWGT,FSTOTDED,CERTHHSZ,FSUSIZE,FSUNEARN,FSSTDDE2,FSASSET,LIQRESOR,TANF_IND,FSTANF,FSTOTDE2,FSERNDED,FSGRINC
Alabama,224,211,3826,477,2,2,463,169,0,0,0,3,411,70,814
Alaska,252,255,834,637,2,2,537,222,154,154,0,55,458,88,981
Arizona,194,194,5353,471,2,2,362,140,0,0,0,3,383,91,818
Arkansas,129,132,1807,377,2,2,498,162,115,92,0,1,324,61,804
California,314,330,29938,592,2,2,333,125,0,0,0,98,450,87,773
Colorado,341,340,3335,592,2,2,474,152,0,0,0,27,479,69,820
Connecticut,510,500,3138,737,1,1,581,128,0,0,0,27,593,56,863
Delaware,222,237,1218,513,2,2,494,157,0,0,0,11,439,89,938
District of Columbia,235,260,865,470,1,1,436,129,0,0,0,63,287,40,639
Florida,309,311,19742,572,1,1,499,165,0,0,0,5,504,78,890
Georgia,223,225,8391,481,2,2,461,146,0,0,0,1,397,62,772
Guam,245,80,429,600,3,3,172,257,0,0,0,8,460,154,947
Hawaii,115,120,1546,434,1,1,546,222,0,0,0,30,381,69,892
Idaho,330,227,842,514,2,2,476,171,63,42,0,3,435,86,907
Illinois,247,257,13933,518,1,1,428,139,0,0,0,5,430,71,785
Indiana,246,258,3627,520,2,2,485,170,32,32,0,1,443,75,863
Iowa,222,223,2131,510,2,2,482,163,1,1,0,14,427,95,962
Kansas,263,276,1307,551,2,2,485,174,152,147,0,8,465,77,874
Kentucky,156,163,3318,399,2,2,474,154,0,0,0,10,328,56,756
Louisiana,208,213,6281,449,2,2,430,153,82,82,0,1,370,51,690
Maine,415,416,1119,655,1,1,703,184,261,217,0,26,600,65,1029
Maryland,261,259,5320,554,1,1,507,152,0,0,0,28,475,76,889
Massachusetts,473,457,5550,719,1,1,633,140,0,0,0,29,588,52,894
Michigan,358,365,9548,639,1,1,513,144,28,28,0,6,508,74,886
Minnesota,302,308,2545,583,1,1,580,166,0,0,0,0,502,85,1006
Mississippi,161,162,2780,414,2,2,428,148,0,0,0,3,341,63,746
Missouri,250,259,4369,525,2,2,501,160,129,128,0,5,436,58,794
Montana,308,319,904,595,2,2,480,161,0,0,0,37,505,89,929
Nebraska,286,289,1040,569,2,2,494,163,64,63,0,19,467,87,934
Nevada,183,194,2964,454,1,1,388,141,0,0,0,12,363,79,786
New Hampshire,382,383,823,632,1,1,707,167,134,130,0,42,556,63,1028
New Jersey,381,380,6210,649,1,1,595,169,0,0,0,6,575,81,1003
New Mexico,199,200,2689,457,2,2,395,152,0,0,0,17,381,77,784
New York,514,505,20324,770,1,1,639,147,0,0,0,32,632,68,978
North Carolina,251,259,6723,548,2,2,437,154,0,0,0,3,462,97,923
North Dakota,335,343,641,646,2,2,496,150,0,0,0,14,542,74,869
Ohio,301,306,8730,554,1,1,564,164,0,0,0,13,476,68,906
Oklahoma,188,192,3068,441,2,2,398,150,0,0,0,3,352,66,733
Oregon,304,304,4860,561,1,1,488,145,0,0,0,20,460,63,804
Pennsylvania,415,413,14056,672,1,1,566,155,0,0,0,12,555,74,940
Rhode Island,464,452,1528,697,1,1,609,152,0,0,0,22,571,56,889
South Carolina,186,189,3592,455,2,2,471,152,0,0,0,7,381,63,791
South Dakota,347,348,676,623,2,2,445,132,286,253,0,30,494,72,808
Tennessee,158,160,5409,391,1,1,431,146,137,137,0,5,325,48,674
Texas,250,250,22052,540,2,2,435,170,0,0,0,3,467,93,905
Utah,234,244,1031,528,2,2,428,159,214,212,0,14,447,94,902
Vermont,650,648,717,918,1,1,749,145,0,0,0,37,757,58,1043
Virgin Islands,60,68,702,341,2,2,271,126,0,0,0,6,287,80,673
Virginia,191,195,5276,448,2,2,524,169,161,161,0,14,389,58,816
Washington,306,304,7074,562,1,1,457,139,0,0,0,18,445,72,822
West Virginia,231,220,2279,448,1,1,529,155,0,0,0,3,354,54,800
Wisconsin,275,281,4038,571,2,2,558,165,0,0,0,10,490,91,1016
Wyoming,254,254,497,557,2,2,460,165,187,168,0,2,461,86,891
